Município;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total;Equipes_Dez_2024;Total_Equipes
210060 AMARANTE DO MARANHAO;4.0;18.0;;1.0;;;;;;1.0;2.0;1.0;2.0;1.0;1.0;;1.0;;1.0;;2.0;;8.0;;2.0;;;;;;;;;;;;45.0;49.0;49.0
210070 ANAJATUBA;1.0;15.0;;1.0;;;;;;2.0;;1.0;1.0;1.0;1.0;;;;1.0;;1.0;;;;2.0;;;;;;;;;;;;27.0;29.0;29.0
210080 ANAPURUS;1.0;7.0;;1.0;;;;;;2.0;1.0;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;14.0;17.0;17.0
210083 APICUM-ACU;;7.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;11.0;16.0;16.0
210087 ARAGUANA;;6.0;;1.0;;;;;;;;;;;;;;;1.0;;;;2.0;;1.0;;;;;;;;;;;;11.0;18.0;18.0
210090 ARAIOSES;;16.0;;2.0;;;;;;1.0;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;21.0;23.0;23.0
210095 ARAME;2.0;10.0;;1.0;;;;;;1.0;1.0;1.0;;;1.0;;;;1.0;;;;4.0;;1.0;;;;;;;;;;1.0;;24.0;27.0;27.0
210100 ARARI;;13.0;;1.0;;;;;;3.0;;;1.0;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;21.0;32.0;32.0
210110 AXIXA;;12.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;17.0;14.0;14.0
210120 BACABAL;1.0;23.0;3.0;4.0;;;;;10.0;26.0;7.0;;7.0;2.0;1.0;;;;1.0;1.0;2.0;;;;1.0;1.0;1.0;;;;1.0;1.0;;1.0;2.0;1.0;97.0;100.0;100.0
210125 BACABEIRA;4.0;10.0;;1.0;;;;;1.0;1.0;;1.0;1.0;;;;;;1.0;;1.0;;;;1.0;;;;;;;;;1.0;1.0;;24.0;16.0;16.0
210130 BACURI;2.0;6.0;;1.0;;;;;1.0;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;12.0;17.0;17.0
210135 BACURITUBA;;4.0;;;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;8.0;7.0;7.0
210140 BALSAS;5.0;33.0;72.0;3.0;;;;;9.0;14.0;19.0;;5.0;7.0;1.0;;;;2.0;1.0;1.0;;;1.0;1.0;;;;;;;;;2.0;2.0;;178.0;55.0;55.0
210150 BARAO DE GRAJAU;2.0;10.0;;1.0;;;;;;4.0;2.0;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;22.0;20.0;20.0
210160 BARRA DO CORDA;;26.0;2.0;4.0;1.0;;;;9.0;12.0;7.0;1.0;4.0;3.0;;;;;1.0;1.0;1.0;;15.0;1.0;1.0;;;;;;1.0;;;;2.0;;92.0;40.0;40.0
210170 BARREIRINHAS;;22.0;1.0;1.0;;;;;1.0;12.0;2.0;;;1.0;2.0;;;;1.0;;1.0;3.0;;;1.0;;;;;;1.0;;;;;1.0;50.0;49.0;49.0
210173 BELAGUA;;6.0;;;;1.0;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;9.0;6.0;6.0
210177 BELA VISTA DO MARANHAO;2.0;8.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;14.0;13.0;13.0
210180 BENEDITO LEITE;;3.0;;1.0;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;6.0;6.0;6.0
210190 BEQUIMAO;1.0;9.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;15.0;13.0;13.0
210193 BERNARDO DO MEARIM;4.0;4.0;;1.0;;;;;;;;1.0;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;12.0;7.0;7.0
210197 BOA VISTA DO GURUPI;1.0;3.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;6.0;9.0;9.0
210200 BOM JARDIM;1.0;20.0;;1.0;;;;;;1.0;;;1.0;1.0;2.0;;;;1.0;;1.0;;5.0;;;;;;;;;;;;;;34.0;34.0;34.0
210203 BOM JESUS DAS SELVAS;2.0;10.0;;1.0;;;;;;1.0;1.0;;;1.0;3.0;;;;1.0;;;1.0;1.0;;3.0;;;;;;;;;;;;25.0;24.0;24.0
210207 BOM LUGAR;;9.0;;;;;;;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;12.0;14.0;14.0
210210 BREJO;;14.0;;1.0;;;;;1.0;;;1.0;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;1.0;20.0;34.0;34.0
210215 BREJO DE AREIA;1.0;5.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;7.0;11.0;11.0
210220 BURITI;6.0;10.0;;1.0;;;;;;1.0;1.0;1.0;1.0;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;24.0;30.0;30.0
210230 BURITI BRAVO;;11.0;;1.0;;;;;;;;;1.0;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;17.0;27.0;27.0
210232 BURITICUPU;25.0;;2.0;1.0;;;;;3.0;6.0;4.0;;3.0;2.0;3.0;;1.0;;1.0;;2.0;;;1.0;;;;;;;;1.0;;;;;55.0;38.0;38.0
210235 BURITIRANA;;6.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;9.0;17.0;17.0
210237 CACHOEIRA GRANDE;;4.0;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;7.0;12.0;12.0
210240 CAJAPIO;;4.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;9.0;13.0;13.0
210250 CAJARI;;6.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;11.0;16.0;16.0
