Ano/mês compet.;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE REGULACAO DE SERVICOS DE SAUDE;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total
2010/Dez;9830;10740;680;1870;390;680;70;30;4470;3960;2680;110;130;160;1320;130;10;80;7.0;2.0;60.0;;67.0;18.0;;;;;;;;;;;;;;;38880
2011/Jan;9830;10780;690;1860;380;680;70;30;4530;3950;2690;110;130;160;1320;130;10;80;7.0;2.0;60.0;;67.0;18.0;;;;;;;;;;;;;;;38970
2011/Fev;9860;10800;710;1860;380;680;70;30;4540;4020;2730;110;130;160;1320;130;10;80;7.0;2.0;61.0;;67.0;18.0;;;;;;;;;;;;;;;39170
2011/Mar;9820;10860;710;1860;380;680;70;30;4590;4070;2730;110;130;160;1330;130;10;80;7.0;2.0;62.0;;67.0;18.0;;;;;;;;;;;;;;;39310
2011/Abr;9950;10750;700;1730;370;670;70;30;4560;4010;2770;110;130;170;1380;130;10;60;7.0;2.0;69.0;;67.0;19.0;;;;;;;;;;;;;;;39240
2011/Mai;9900;10780;720;1690;360;670;100;30;4570;3980;2820;100;130;150;1410;140;10;60;7.0;2.0;73.0;;67.0;21.0;;;;;;;;;;;;;;;39320
2011/Jun;9900;10820;710;1680;360;670;100;30;4560;3990;2840;100;130;150;1410;140;10;60;7.0;2.0;74.0;;67.0;21.0;;;;;;;;;;;;;;;39370
2011/Jul;9870;10930;710;1690;350;670;100;40;4600;4020;2850;120;130;150;1490;140;10;60;7.0;2.0;77.0;;65.0;21.0;;;;;;;;;;;;;;;39650
2011/Ago;9870;10980;730;1680;340;670;100;50;4640;4060;2870;110;130;150;1500;140;10;60;6.0;2.0;80.0;;65.0;21.0;;;;;;;;;;;;;;;39830
2011/Set;9860;10980;730;1680;340;670;100;60;4670;4110;2860;120;130;150;1540;140;10;60;6.0;2.0;83.0;;65.0;23.0;;;2.0;;;;;;;;;;;;40020
2011/Out;9870;11040;720;1680;330;660;90;60;4680;4140;2890;120;130;150;1570;140;10;60;6.0;2.0;86.0;;66.0;24.0;;1.0;5.0;;;;;;;;;;;;40240
2011/Nov;9850;11060;720;1690;330;660;90;60;4690;4160;2900;120;130;160;1590;140;10;60;6.0;2.0;89.0;;66.0;22.0;;1.0;5.0;;;;;;;;;;;;40330
2011/Dez;9900;11070;720;1680;340;660;90;110;4720;4170;2890;120;130;170;1600;140;10;60;6.0;2.0;88.0;;66.0;22.0;;1.0;5.0;;;;;;;;;;;;40480
2012/Jan;9870;11100;720;1670;340;660;90;110;4780;4220;2920;140;160;170;1610;140;10;60;5.0;3.0;88.0;;67.0;24.0;;1.0;5.0;;8.0;;;;;;;;;;40780
2012/Fev;9880;11270;670;1700;330;660;90;110;4830;4260;2920;140;400;170;1610;140;10;60;5.0;3.0;88.0;;67.0;25.0;;1.0;5.0;;10.0;;;;;;;;;;41290
2012/Mar;9130;12050;690;1700;330;660;90;120;4820;4340;2930;140;490;170;1610;140;10;60;5.0;3.0;89.0;;70.0;25.0;;1.0;5.0;;11.0;;;;;;;;;;41570
2012/Abr;8290;12940;690;1710;330;660;90;120;4840;4400;2930;130;640;170;1620;140;10;60;5.0;3.0;88.0;;71.0;25.0;;1.0;5.0;;11.0;;;;;;;;;;41860
2012/Mai;8050;13290;690;1710;330;660;90;120;4840;4440;2940;130;670;170;1690;140;10;60;5.0;3.0;89.0;;73.0;26.0;;1.0;5.0;;11.0;;;;;;;;;;42160
2012/Jun;7810;13600;700;1710;330;670;80;120;4870;4480;2960;130;670;170;1680;130;10;60;5.0;3.0;90.0;;73.0;27.0;;1.0;5.0;1.0;11.0;;;;;;;;;;42340
2012/Jul;7690;13690;680;1740;330;670;80;130;4820;4450;2980;110;690;180;1700;130;10;50;5.0;3.0;91.0;;74.0;27.0;;1.0;5.0;1.0;11.0;;;;;;;;;;42310
2012/Ago;7490;13860;680;1750;320;670;70;130;4830;4520;3000;110;740;180;1700;130;10;50;5.0;3.0;92.0;;74.0;27.0;;1.0;5.0;1.0;11.0;;;;;;;;;;42430
2012/Set;7500;13870;680;1750;320;670;70;130;4860;4520;3010;110;850;180;1700;130;10;50;5.0;3.0;92.0;;75.0;27.0;;1.0;5.0;1.0;11.0;;;;;;;;;;42610
2012/Out;7420;14000;700;1760;310;670;70;130;5080;3650;3650;110;850;180;1700;130;10;50;5.0;3.0;95.0;;76.0;27.0;;1.0;5.0;2.0;11.0;;;;;;;;;;42720
2012/Nov;7400;14050;700;1760;300;670;70;130;5070;3680;3670;110;910;190;1700;130;10;50;5.0;3.0;97.0;;76.0;27.0;;1.0;5.0;2.0;11.0;;;;;;;;;;42870
2012/Dez;7410;14040;700;1760;300;670;70;130;5070;3690;3670;110;910;190;1720;130;10;50;5.0;3.0;96.0;;76.0;27.0;;1.0;5.0;2.0;10.0;;;;;2.0;;;;;42900
2013/Jan;7550;13920;700;1750;300;670;70;130;5070;3740;3670;110;910;190;1730;120;10;50;5.0;3.0;97.0;;76.0;28.0;;1.0;5.0;2.0;10.0;;;;;1.0;;;;;42970
2013/Fev;7170;14410;700;1750;300;670;70;130;5060;3740;3690;110;920;190;1740;120;10;50;5.0;3.0;102.0;;76.0;28.0;;1.0;5.0;2.0;10.0;;;;;1.0;;;;;43160
2013/Mar;7050;14570;700;1760;290;670;70;130;5040;3780;3750;120;930;190;1750;110;10;40;5.0;3.0;104.0;;76.0;28.0;1.0;1.0;5.0;2.0;10.0;;;;;1.0;;;;;43320
2013/Abr;7130;14530;710;1770;290;680;70;130;5030;3800;3790;120;980;190;1750;110;10;40;5.0;3.0;105.0;;76.0;29.0;1.0;1.0;5.0;2.0;10.0;;;;;1.0;;;;;43510
2013/Mai;7160;14600;730;1770;290;680;70;130;5030;3810;3810;120;960;190;1760;110;10;40;5.0;3.0;106.0;;76.0;29.0;1.0;1.0;5.0;2.0;10.0;;;;;1.0;;;;;43660
2013/Jun;7050;14770;720;1760;290;680;70;140;5110;3890;3820;120;990;200;1770;110;10;40;5.0;3.0;109.0;;76.0;29.0;1.0;1.0;7.0;2.0;10.0;;;;;1.0;;;;;43980
2013/Jul;7020;14870;760;1760;290;670;80;140;5110;3930;3830;120;1010;200;1780;110;10;40;5.0;3.0;110.0;;76.0;29.0;1.0;1.0;8.0;2.0;10.0;;;;;1.0;;;;;44190
2013/Ago;7090;15040;750;1790;290;660;70;40;5110;3970;3950;120;1010;210;1800;110;10;40;5.0;3.0;112.0;;76.0;29.0;8.0;11.0;10.0;3.0;10.0;;;;;2.0;;;;;44750
2013/Set;7080;15070;780;1810;290;660;60;40;5140;3990;3970;120;1010;210;1800;100;10;40;5.0;3.0;112.0;;76.0;30.0;9.0;11.0;11.0;3.0;10.0;;;;;2.0;;;;;44900
2013/Out;7130;15120;830;1810;290;660;60;40;5140;4020;4000;110;1030;210;1800;100;10;40;4.0;2.0;113.0;;76.0;31.0;9.0;11.0;11.0;3.0;10.0;;;;1.0;3.0;;;;;45140
2013/Nov;7060;15260;840;1830;290;660;60;40;5150;4080;4010;110;1040;220;1790;100;10;40;4.0;2.0;116.0;;76.0;32.0;10.0;11.0;11.0;3.0;10.0;;;;1.0;4.0;;;;;45390
2013/Dez;7110;15370;850;1860;290;650;60;40;5180;4140;4020;120;1030;220;1800;100;10;40;4.0;2.0;116.0;;76.0;34.0;11.0;11.0;11.0;3.0;10.0;;;;1.0;4.0;;;;;45720
2014/Jan;7040;15510;860;1860;290;660;60;40;5190;4200;4030;120;1040;230;1820;100;10;40;5.0;1.0;117.0;;77.0;34.0;11.0;11.0;12.0;3.0;10.0;;;;3.0;4.0;;;;;45980
2014/Fev;7030;15530;860;1860;280;640;60;40;5200;4220;4020;120;1040;230;1820;100;10;40;5.0;1.0;117.0;;77.0;35.0;11.0;11.0;13.0;3.0;10.0;;;;3.0;4.0;;;;;46000
2014/Mar;6990;15590;870;1870;280;640;60;40;5240;4240;4020;120;1040;230;1830;90;10;40;4.0;1.0;117.0;;77.0;37.0;11.0;11.0;13.0;3.0;10.0;;;;3.0;5.0;;;;;46120
2014/Abr;6990;15630;880;1890;280;630;60;40;5230;4280;4050;120;1040;240;1850;90;10;50;4.0;1.0;121.0;;77.0;38.0;11.0;11.0;15.0;3.0;10.0;;;;3.0;4.0;;;;;46340
2014/Mai;7080;15540;880;1930;280;640;60;40;5250;4330;4060;120;1090;270;1840;90;10;50;4.0;1.0;134.0;;77.0;42.0;11.0;11.0;15.0;3.0;10.0;;;;3.0;4.0;;;;;46710
2014/Jun;7060;15610;890;1930;280;640;60;40;5260;4370;4080;120;1150;270;1840;90;10;50;4.0;1.0;137.0;;77.0;43.0;14.0;11.0;15.0;3.0;10.0;;;;3.0;4.0;;;;;46970
2014/Jul;7060;15640;910;1960;280;640;60;30;5270;4480;4120;120;1150;280;1840;90;10;50;4.0;1.0;142.0;;79.0;43.0;14.0;11.0;16.0;3.0;10.0;;;;4.0;6.0;;;;;47320
2014/Ago;7010;15740;910;1960;270;620;60;30;5320;4520;4130;120;1150;290;1840;90;10;50;2.0;1.0;145.0;;82.0;43.0;14.0;11.0;18.0;3.0;10.0;;;;4.0;8.0;;;;;47530
2014/Set;7000;15800;920;2030;270;600;60;30;5340;4590;4120;120;1140;300;1850;90;10;50;2.0;1.0;146.0;;83.0;42.0;15.0;11.0;20.0;2.0;10.0;;;;4.0;8.0;;;;;47760
2014/Out;6910;15910;920;2050;270;580;50;30;5370;4620;4150;120;1240;300;1850;90;10;50;2.0;1.0;148.0;;84.0;42.0;15.0;12.0;20.0;3.0;10.0;;;;4.0;8.0;1.0;;;;48020
2014/Nov;6880;15990;920;2080;270;570;50;30;5390;4650;4170;120;1280;300;1850;90;10;50;2.0;1.0;149.0;;84.0;43.0;15.0;12.0;26.0;2.0;10.0;;;;4.0;8.0;;;;;48260
2014/Dez;6870;16010;920;2080;280;570;50;40;5400;4670;4170;120;1280;300;1850;90;10;50;2.0;1.0;150.0;;84.0;43.0;15.0;11.0;26.0;2.0;10.0;;;;4.0;9.0;;;;;48330
2015/Jan;6360;15960;930;2070;270;570;50;40;5250;4670;4000;90;1300;270;1780;90;10;50;2.0;1.0;150.0;;86.0;44.0;13.0;11.0;26.0;3.0;10.0;1.0;;;5.0;8.0;;;;;47360
2015/Fev;6340;16000;930;2070;270;570;50;40;5240;4720;4030;90;1300;280;1780;90;10;50;2.0;1.0;152.0;;88.0;46.0;13.0;11.0;27.0;4.0;10.0;1.0;;;5.0;7.0;;;;;47530
2015/Mar;6370;16130;950;2060;270;560;50;40;5240;4790;4050;90;1300;280;1800;90;10;50;2.0;1.0;152.0;;87.0;48.0;21.0;11.0;29.0;4.0;10.0;2.0;;;5.0;7.0;1.0;;;;47930
2015/Abr;6370;16170;970;2040;280;570;50;40;5260;4820;4060;90;1300;280;1820;90;10;50;3.0;1.0;153.0;;87.0;50.0;22.0;11.0;29.0;4.0;10.0;2.0;;;5.0;7.0;1.0;;;;48120
2015/Mai;6350;16170;980;2040;280;570;50;40;5280;4850;4080;90;1300;290;1820;90;10;50;3.0;1.0;157.0;;87.0;50.0;22.0;12.0;32.0;4.0;10.0;3.0;;;5.0;7.0;3.0;;;;48300
2015/Jun;6350;16230;980;2050;290;560;50;40;5300;4900;4100;80;1310;280;1830;90;10;50;3.0;1.0;156.0;;86.0;51.0;22.0;12.0;32.0;4.0;10.0;3.0;;;5.0;8.0;3.0;;;;48460
2015/Jul;6360;16200;980;2090;290;510;30;40;5320;5010;4140;80;1300;350;1870;90;10;50;3.0;1.0;159.0;1.0;86.0;51.0;22.0;14.0;32.0;4.0;10.0;4.0;;;5.0;8.0;3.0;;;;48750
2015/Ago;6380;16140;990;2090;290;520;30;40;5320;5070;4140;80;1310;360;1880;90;10;50;3.0;1.0;159.0;1.0;86.0;51.0;25.0;14.0;34.0;4.0;10.0;4.0;;;5.0;8.0;3.0;;;;48870
2015/Set;6420;16190;990;2100;300;520;30;40;5340;5190;4190;80;1320;370;1890;90;10;50;3.0;;161.0;1.0;87.0;52.0;30.0;13.0;37.0;4.0;10.0;4.0;;;6.0;7.0;3.0;;;;49300
2015/Out;6440;16280;980;2100;300;520;30;50;5350;5190;4220;100;1320;380;1890;90;10;50;3.0;;162.0;1.0;88.0;52.0;31.0;13.0;38.0;4.0;10.0;4.0;;;6.0;7.0;3.0;;;;49520
2015/Nov;6300;16350;1000;2100;300;520;30;50;5390;5320;4250;120;1320;390;1920;20;10;50;3.0;;163.0;1.0;89.0;53.0;34.0;13.0;40.0;4.0;10.0;4.0;;;6.0;7.0;4.0;;;;49750
2015/Dez;6230;16400;1010;2120;300;520;30;50;5420;5320;4250;140;1320;390;1920;20;10;50;3.0;;165.0;1.0;89.0;51.0;34.0;13.0;40.0;4.0;10.0;4.0;1.0;;6.0;7.0;4.0;;;;49820
2016/Jan;6150;16460;1020;2140;300;510;20;50;5430;5330;4270;140;1320;390;1800;20;10;50;3.0;;181.0;1.0;89.0;50.0;34.0;13.0;42.0;4.0;10.0;5.0;1.0;;6.0;7.0;4.0;;;;49910
2016/Fev;6140;16510;1020;2150;300;500;20;50;5450;5490;4300;140;1310;400;1810;20;10;50;3.0;;186.0;1.0;91.0;50.0;34.0;13.0;43.0;4.0;10.0;5.0;1.0;;6.0;7.0;4.0;;;;50250
2016/Mar;6020;16610;1020;2150;300;500;20;50;5390;5590;4280;140;1300;410;1800;20;10;50;3.0;;190.0;1.0;90.0;49.0;34.0;13.0;45.0;4.0;10.0;5.0;1.0;;7.0;7.0;4.0;;;;50290
2016/Abr;5970;16640;1070;2150;300;500;20;50;5380;5620;4300;140;1300;400;1800;20;10;60;3.0;;190.0;1.0;90.0;49.0;33.0;13.0;45.0;4.0;10.0;5.0;1.0;;7.0;8.0;4.0;;;;50360
